Full Name,Section,Spanish,English,Social,Science
Bamba Guevara,12A,100,100,100,100
Dominick Guevara,12A,70,45,90,50
Maria Vargas,12A,97,100,46,96
Maria Vargas,12A,97,100,46,96
Dominick Guevara,12A,70,100,90,60
Bamba Guevara,12A,100,100,100,100
Carlos Mendoza,11A,85,90,78,92
Laura Jimenez,11B,55,70,88,74
Andres Rojas,12A,100,95,99,98
Sofia Vargas,11C,45,55,30,60
Miguel Quesada,12B,72,68,80,75
Valeria Mora,11A,90,88,92,95
Diego Castillo,12A,58,62,70,45
Gabriela Ulate,11B,78,82,76,80
Sebastian Brenes,12C,40,35,50,55
Camila Araya,11A,95,92,88,97
Fabian Solano,12B,65,70,60,55
Maria Jose Vega,11C,88,85,90,82
Andres Chaves,12A,50,45,58,62
Daniela Fallas,11B,92,96,88,94
Roberto Zuniga,12C,70,75,68,80
